titulo,empresa,fecha,herramientas,descripcion,ubicacion,funciones,jornada,experiencia,tipo_contrato,salario,fecha_scrapeo,url,portal
Técnico de Gestores de Red de Transmisión (SDH y DWDM),Insyte instalaciones,hace 52m,"['Mantenimiento', 'Transmisión (telecomunicaciones)']","Trabajos de ingeniería y de atención de la demanda sobre equipos de tecnología JDS (SDH) y DWDM Tareas/ Funciones: Operar sobre los gestores de los equipos JDS y DWDM de Alcatel-Lucent-Nokia, Ericsson y Huawei para reconfiguraciones de tráfico, integración de tarjetas y alta/baja de equipos. Requisitos mínimos: Conocimientos y experiencia en tecnología JDS (SDH) y DWDM, sus equipos y sus gestores de elementos. Requisitos deseados: Se valorará haber trabajado en la planta de Telefónica en actividades de operación, mantenimiento o ingeniería de esta tecnología ( Transmisión). Se valorará especialmente conocer los equipos y gestores de los fabricantes Ericsson, Nokia, Lucent y Alcatel. Inglés Técnico Información adicional. Por las característica del trabajo se requiere disponibilidad para jornada irregular ( 60%-30%-10%) Competencias Personales Capacidad de aprendizaje Proactividad Solución de problemas Autonomía Capacidad de análisis Creatividad Planificación y control Capacidad para detectar riesgos",Getafe,Telecomunicaciones, jornada completa,al menos 1 año,indefinido,o disponible,2024-01-29,https://www.infojobs.net/getafe/tecnico-gestores-red-transmision-sdh-dwdm/of-i68f922b49b43fe897cd6514d8eb56d?applicationOrigin=search-new&page=1&sortBy=PUBLICATION_DATE,infojobs
"Software Development Engineer, Multiple EU locations",Amazon Europe Core,hace 58m,[],"Join our Software Development Engineer opportunities in the Stores Tech Organization teams in EMEA in  * Madrid  * Berlin  * Luxembourg  * Dublin  * London  You will decide the location and Amazon will support your relocation. Come build the future with us!  As a Software Development Engineer you will contribute to all aspects of an agile software development life cycle including design, architecture, development, documentation, testing and operations. You will push your design and architecture limits by owning all aspects of solutions end-to-end, through full stack software development. Taking pride in both the technical and business contribution of your work, you will be given the chance to have a significant impact on our systems, our business and our customers. You will design and implement new features and be part of a team that is building the future of online retail.  Key job responsibilities  Great candidates for this position possess a sound understanding of computer science and a passion to make a profound impact for our customers. You will have the opportunity to apply this passion by leveraging your technical skills in areas such as algorithms, object-oriented design, distributed systems, web development, front-end/back-end design, and more. You will also have the opportunity to collaborate with diverse business and technical partners to shape our technology.  About the team  Here at Amazon, we embrace our differences and are committed to furthering our culture of inclusion. We offer 13 employee-led affinity groups with 190 global chapters. Some examples include the Amazon Women in Engineering (AWE), People with Disabilities (PwD) and Mental Health and Well-Being (MHW) at Amazon.  We actively recruit people from diverse backgrounds to build a supportive and inclusive workplace, and take steps to ensure employees have a sense of belonging, value, and opportunity.  The perks of being an Amazon employee don't stop at collaborating with great people on exciting and innovative projects. Amazon's benefits support the needs of our diverse workforce and their family members, no matter what stage they're at in their life or career. For more details about benefits, check here https://www.amazon.jobs/en/benefits/global  We are open to hiring candidates to work out of one of the following locations:  Madrid, M, ESP",Madrid,216419, jornada completa,más de 5 años,indefinido,o disponible,2024-01-29,https://www.infojobs.net/madrid/software-development-engineer-multiple-eu-locations/of-i645ec8405e47e9bf9a7042a6f1b72e?applicationOrigin=search-new&page=1&sortBy=PUBLICATION_DATE,infojobs
Consultor/a Salesforce Sales y/o Service Cloud 100% remoto,"Serviguide BPO, S.L.",hace 2m,[],"Precisamos incorporar varios perfiles de Consultor/a Salesforce Sales y/o Service Cloud para trabajar en proyectos de implantación a nivel nacional e internacional para diversos sectores económicos, donde ofrecemos 100% remoto.Valoramos perfiles con un mínimo de 5 o 6 años como Consultores SF, y que al menos tenga 2 años de experiencia técnica.¿Qué ofrecemos?* Contrato Indefinido.* Horario: L a J de 9 a 18:30 y los V de 8 a 15 + jornada intensiva en verano.* 100% remoto.* Desarrollo profesional.* Estabilidad laboral.* Salario: Abierto + retribución flexible",Madrid,Consultoría de estrategia y operaciones, jornada completa,más de 5 años,indefinido,40.000€ - 62.000€ Bruto/año,2024-01-29,https://www.infojobs.net/madrid/consultor-salesforce-sales-service-cloud-100-remoto/of-i5de0f8d4a04a21a1e006f4c124e509?applicationOrigin=search-new&page=1&sortBy=PUBLICATION_DATE,infojobs
Helpdesk Junior con Inglés (v),BETWEEN Technology,hace 7m,[],"En BETWEEN apostamos por el mejor talento dentro del sector tecnológico. Nos involucramos en una gran variedad de proyectos punteros, trabajando con las últimas tecnologías. Actualmente en BETWEEN contamos con un equipo de más de 800 personas.Trabajamos en ámbitos como BI, IoT, Big Data e I+D. En el área de Operaciones implantamos proyectos de Service Desk, Infraestructuras IT y proyectos Cloud, entre otros.Seleccionamos un Gestor de Activos de Software y Telefonía Junior para efectuar la compra y gestión de licencias de software, hardware y telefonía en un equipo de alto rendimiento y especialización en IT.Las funciones a realizar en tu día a día serán:- Participar activamente en la gestión de licenciamiento de software, asegurando cumplimiento y la optimización de recursos. - Soporte en la gestión de inventarios y contratos de activos software y hardware, manteniendo un inventario preciso. - Gestión compras software. - Soporte en auditorías internas/externas de software para garantizar uso correcto de licencias. - Colaborar en la implementación de prácticas de uso responsable de licencias y políticas de cumplimiento. - Atender incidencias diarias, proporcionar soporte al licenciamiento y telefonía a los departamentos de HelpDesk, Sistemas y Operaciones.- Administrar y mantener sistemas de telefonía a nivel global, brindando soporte técnico a usuarios. - Brindar soporte en la contratación de telefonía, realizar seguimiento del gasto en empresas del grupo, asegurar el cumplimiento de contratos de telefonía, y gestionar reclamaciones. - Colaborar en proyectos relacionados con el área.Los beneficios que tendrás en tu lugar de trabajo serán:- Horario de 9 a 18- 2 dias de teletrabajo- Plan de carrera profesional en compañía de crecimiento con plan de formaciónAdemás, trabajando para BETWEEN obtendrás los siguientes beneficios añadidos:- Seguro médico incluido por ser Betweener- Posibilidad de formar parte de una empresa en pleno crecimiento a nivel nacional e internacional. Un buen lugar donde trabajar: cuidamos de nuestro equipo y la sociedad a través de iniciativas, programas de conciliación y de responsabilidad social corporativa- Te integrarás en un equipo de alto rendimiento y con un alto grado de especialización.- Dispondrás de oportunidades de formación y desarrollo profesional- Pondremos a tu disposición un amplio abanico de retos y proyectos acordes con tus objetivos personales y profesionales.- Posibilidad de elegir cómo obtener parte de tu salario gracias a las ventajas fiscales de nuestra Retribución Flexible, y descuentos para acceder a centros de fitness, entre otros- En BETWEEN, la igualdad de oportunidades es uno de nuestros valores. Nuestro compromiso es contratar al mejor talentos independientemente de su raza, religión, sexo, edad y personas con otras capacidades y promover su desarrollo profesional y personal.",Cornellà De Llobregat,Otras actividades, jornada completa,al menos 2 años,indefinido,18.000€ - 24.000€ Bruto/año,2024-01-29,https://www.infojobs.net/cornella-de-llobregat/helpdesk-junior-con-ingles-v/of-i8cc209e8734e1fa6cfcc816a21da2f?applicationOrigin=search-new&page=1&sortBy=PUBLICATION_DATE,infojobs
Ingeniero/a DevOps (100% teletrabajo),Second Window,hace 8m,"['Java', 'Groovy', 'microservicios', 'Kubernetes', 'Docker', 'Ansible', 'Terraform']","¡Te ofrecemos crecer con nosotros en nuestra unidad tecnológica Cloud & Devops como Devops Engineer!. Si tienes 3 años o más experiencia desempeñando este rol y trabajar en un proyecto estable y de larga duración, danos la oportunidad de conocerte¿Qué necesitamos?- de 3 a 5 años o más de experiencia- Montaje de pupelines de integración y despliegue continuo.- Programación en Groovy o Java.- Experiencia con estas tecnologías: GitLab, Jenkins, Nexus o Artifactory, Maven, Gradl, Docker, Kubernetes, Helm, Prometheus.- Desarrollo e implantación de templates y desarrollos Devops para la automatización e incorporación de aplicaciones.- IMPRESCINDIBLE Titulación universitaria homologada- Valorables:Ansible y terraform.ELK, kibana, grafanaConocimientos cloud.Ingles.- Muy valorable: experiencia en el desarrollo y arquitectura de microservicios y su implantación en proyectos..Condiciones del puesto·Modalidad: 100% teletrabajo·Horario: Estándar de Oficina¿Qué te podemos ofrecer?·Contratación indefinida·Rango salarial: 35-50k b/año en función de la experiencia en las tecnologías indicadas·Beneficios sociales: Seguro médico privado y seguro de vida·Retribución flexible: tickets restaurante, tickets guardería, tarjeta transporte·23 días de vacaciones y el día de tu cumpleaños·Plan de formación personalizado.Si sientes que podrías encajar y te apetece la experiencia, ¡ponte en contacto con nosotros! Y te daremos toda la información que necesites.¡Abre una nueva ventana a tu futuro con Second Window! ¡Inscríbete!",Madrid,Servicios y tecnología de la información, jornada completa,al menos 3 años,indefinido,33.000€ - 50.000€ Bruto/año,2024-01-29,https://www.infojobs.net/madrid/ingeniero-devops-100-teletrabajo/of-icdd8b8354f49e98f334ad401122c58?applicationOrigin=search-new&page=1&sortBy=PUBLICATION_DATE,infojobs
"Business Analyst, Sustainability Maintenance Services (SMS) Team",Amazon Europe Core,hace 58m,[],"The Amazon Reliability, Maintenance Engineering (RME) team is seeking an exemplary Business Analyst with broad technical skills to develop data visualizations and build automation solutions that drive business decision making and process improvement.  The ideal candidate would be creative, innovative, team oriented, an effective communicator, have a desire to participate in change and appreciate a dynamic environment with rapidly changing priorities.  Key deliverables of the role:  - Develop new analytical tools, interfacing with business and technical stakeholders;  - Develop models and metrics providing insights on customer and seller experience and performance  - Manage the business metrics reporting process;  - Drive process efficiency and automation;  - Collaborate with key stakeholders across the network to come up with new customer opportunities/insights.  We are open to hiring candidates to work out of one of the following locations:  Barcelona, ESP",Barcelona,216417, jornada completa,al menos 1 año,indefinido,o disponible,2024-01-29,https://www.infojobs.net/barcelona/business-analyst-sustainability-maintenance-services-sms-team/of-ia0312b3e8a46709951612d051c2e6f?applicationOrigin=search-new&page=2&sortBy=PUBLICATION_DATE,infojobs
"Software Development Engineer, Amazon Business",Amazon Europe Core,hace 59m,[],"The Amazon Business team in Madrid is looking for candidates who are passionate about delivering an amazing experience to our business customers. We focus on merging the customer experience, selection, pricing, and convenience that consumers have come to expect and love from Amazon with the features and functionality required by business customers.  Key job responsibilities  We are looking for a software developer to assist in the development of an end-to-end solution, including product ingestion, pricing, procurement controls, checkout, accounting, returns, and more. You will be a key team member, ensuring that we provide a complete solution, that is at the same time highly scalable and high quality.  Great candidates for this position possess a sound understanding of computer science and a passion to make a profound impact for our customers. You will have the opportunity to apply this passion by leveraging your technical skills in areas such as algorithms, object-oriented design, distributed systems, web development, front-end/back-end design, and more. You will also have the opportunity to collaborate with diverse business and technical partners to shape our technology.  Come join us as we continue to revolutionize procurement of goods for businesses around the world!  About the team  Here at Amazon, we embrace our differences and are committed to furthering our culture of inclusion. We offer 13 employee-led affinity groups with 190 global chapters. Some examples include the Amazon Women in Engineering (AWE), People with Disabilities (PwD) and Mental Health and Well-Being (MHW) at Amazon.  We actively recruit people from diverse backgrounds to build a supportive and inclusive workplace, and take steps to ensure employees have a sense of belonging, value, and opportunity. Our team is dedicated to supporting you with mentorship and pathways for ongoing development. We have a broad mix of experience levels and tenures, and are building an environment that celebrates knowledge sharing and promotes career choice.  Thank you for considering joining Amazon. We cannot wait to learn more about you!  Our recruitment team will partner with you to create a meaningful recruitment experience throughout your journey.  We are open to hiring candidates to work out of one of the following locations:  Madrid, M, ESP",Madrid,216421, jornada completa,no requerida,indefinido,o disponible,2024-01-29,https://www.infojobs.net/madrid/software-development-engineer-amazon-business/of-ie4054d6b454797854a71523f427a92?applicationOrigin=search-new&page=2&sortBy=PUBLICATION_DATE,infojobs
Gestión CPD y Salas de Control,INETUM Centro,hace 31m,['CPD'],"En Inetum buscamos incorporar un/a profesional con experiencia en Gestión CPD y Salas de Control para uno de nuestros proyectos en el sector Servicios. Se trata de una posición estable, ubicada en Madrid.Horario de 07:00 a 15:00Requisitos:- Experiencia demostrable de al menos 3 años gestionando CPDs con un mínimo de 120 m2 o 50 racks.- Título o haber aprobado un curso sobre Gestión de la Operación en CPDs (por ejemplo, CDFOM y CDCP de EXIN o equivalentes o superiores) y en caso contrario, acreditar conocimientos sobre:·Gestión del riesgo: Complejidad y Factores de Riesgo, Preparación y respuestas ante emergencias·Ubicación física y salas relacionadas y sus equipamientos correspondientes. A modo orientativo, pero no limitativo serían: cuarto de baterías, de refrigeración, de SAI, de PCI, etc.·Falso techo, suelo técnico, rejibands, racks.·Eficiencia energética.·Inventariado de equipos con datos sobre responsables, fechas, modelos, consumos, ubicación, tamaños, pesos, alimentación.·Uso de herramientas software: CMDB, BMS y DCIM.·Seguridad física: Control de accesos, alarmas, control de presencia, PCI.·Creación y documentación de protocolos y procedimientos.c·Gestión de traslado de información entre turnos de operadores y vigilantes (procedimientos relacionados: eventos ocurridos, incidencias pendientes, rondas, etc.).·Auditorías sobre personal y material que entra/sale.·Mantenimiento de instalaciones y de sus variantes (preventivo, predictivo, correctivo y basado en fiabilidad).·Operaciones en el CPD: solicitud de servicio, gestión de activos, cambio, capacidad, gestión del piso, incidencias, problemas.¿Qué te ofrecemos?-Contrato Indefinido-Retribución salarial acorde con la experiencia aportada-Plan de carrera: ofrecemos una atractiva carrera profesional en función de la experiencia y potencial personal dentro de una compañía en continua evolución y con un sólido crecimiento-Plan de formación en competencias tecnológicas de acuerdo con las exigencias de los proyectos y clientes.-Retribución flexible: te ofrecemos una retribución a la carta pudiendo elegir diferentes productos y modelar tú mismo cómo distribuirlos: seguro de salud, tickets de comida, guardería, tarjeta transporte, etc.Somos un grupo internacional de consultoría digital ágil. En la era de la post transformación digital, nos esforzamos por permitir que cada uno de nuestros 27 000 profesionales se renueve continuamente viviendo de manera positiva su propio flow digital. Cada uno de ellos puede moldear su trayectoria profesional de acuerdo con sus preferencias, emprender de forma práctica para construir junto a sus clientes un mundo más positivo, innovar localmente en 26 países y armonizar su carrera profesional con su bienestar personal.Únete a Inetum. Live your positive digital flow.",Madrid,LMP, jornada completa,al menos 3 años,indefinido,o disponible,2024-01-29,https://www.infojobs.net/madrid/gestion-cpd-salas-control/of-i501a63459b459bb0a34d3423000ff7?applicationOrigin=search-new&page=2&sortBy=PUBLICATION_DATE,infojobs
Especialista en ERP y Desarrollo de Aplicaciones,RIOS RENOVABLES S.L,hace 32m,[],Desarrollar y personalizar aplicaciones que se integren con el ERP para satisfacer las necesidades específicas de la empresa.Gestionar el mantenimiento y la resolución de problemas del sistema ERP en el día a día.Proporcionar formación y soporte técnico a los usuarios del ERP.Mantenerse al día con las últimas tendencias y tecnologías en sistemas ERP y desarrollo de aplicaciones.Ofrecemos:Un rol clave en un proyecto de transformación empresarial.Oportunidades de desarrollo profesional y formación continua.Jornada flexible.34 días laborables de vacaciones al año y jornada intensiva en los meses de verano de 8 a 15h.Ticket guardería.Gimnasio a disposición de los empleados/as.,Fustiñana,Energía renovable y medio ambiente, jornada completa,no requerida,indefinido,o disponible,2024-01-29,https://www.infojobs.net/fustinana/especialista-erp-desarrollo-aplicaciones/of-ib621472e674f51b4e238dbc43ad957?applicationOrigin=search-new&page=2&sortBy=PUBLICATION_DATE,infojobs
Desarrollador Senior Magento,Ioon Technologies SLU,hace 33m,"['Magento', 'Adobe Commerce Cloud']","Sumamos al equipo un Desarrollador Senior de Magento. Requisitos:- Experiencia es desarrollo backend y módulos desde 0.- Experiencia mínima de 3 años en magento versión 2. - Certificado Adobe Commerce Profesional developer- Experiencia en la creación de servicios GraphQL y mutations. - Experiencia Adobe Commerce Cloud. Horario a realizar: : L - V 09:00-18:00 Remoto 100%. Condiciones:- contrato indefinido- sueldo bruto / año € 30 - 35k (12 pagas)Ventajas Ioon:23 días laborables de vacaciones al añoPrograma de Retribución Flexible (tarjeta comida, cheques guardería, tarjeta transporte, seguro médico).Acceso gratuito a plataforma openwebinars y presupuesto anual de €350 para que elijas tu propia formaciónPosibilidad de hacer coaching a compañeros o participar en hackathons donde la marca tiene presenciaEstabilidad y carrera profesional.plan de compensación de referencias internas",Madrid,370794, jornada completa,al menos 3 años,indefinido,o disponible,2024-01-29,https://www.infojobs.net/madrid/desarrollador-senior-magento/of-ia4e31222fd42c7acdb31bd1d86984d?applicationOrigin=search-new&page=2&sortBy=PUBLICATION_DATE,infojobs
