titulo,empresa,fecha,herramientas,descripcion,ubicacion,funciones,jornada,experiencia,tipo_contrato,salario,fecha_scrapeo,url,portal
Desarrollador/a PL/SQL,NPR Spain,29/01/2024,"pl/sql, javascript, html5, c++","En NPR, siempre estamos en continua evolución incorporando nuevas tecnologías para conseguir los mayores estándares de calidad. Para ello, estamos ampliando nuestros equipos y buscamos un desarrollador/a PL/SQL con experiencia de al menos 2 años y con conocimientos de software de almacenes o de gestión de materiales en fábricas (SGA o SGP).¿QUÉ REQUISITOS TÉCNICOS SON NECESARIOS?Formarás parte de uno de los equipos de una gran multinacional española, pero para ello necesitamos que tengas conocimientos en lenguajes de programación.Imprescindible:• PL/SQL• C++• HTML5• JavaScriptDeseable:• Ingeniero Informático o similar.• Inglés nivel medio/alto.• Conocimientos de la industria farmacéutica, alimentación o similar.¿QUÉ OFRECEMOS?- Salario a convenir.- Desarrollo profesional y personal dentro de la empresa.- Formación y actualización continua.- Ubicación: Azuqueca de HenaresEnvíanos ya tu CV, te estamos esperando.",Guadalajara (Presencial),Desarrollador Web,Jornada completa,3 años,Indefinido,,2024-01-29,https://www.tecnoempleo.com/desarrollador-pl-sql-presencial/pl-sql-javascript-html5-c-sga-sgp-almacene/rf-b6fa1b7af220634e0e41,tecnoempleo
BI/EPM Consultant,Michael Page,29/01/2024Nueva,"BI, CPM","Perfil buscado (Hombre/Mujer)• Desarrollar soluciones técnico-funcionales en áreas como Análisis de Datos, Modelado de Datos, Diseño de Procesos y Arquitectura de Datos utilizando software líder en Business Intelligence y Gestión del Rendimiento Corporativo, para clientes importantes en sectores variados como Servicios Públicos, Energía, Banca, Sanidad y Fabricación.• Realizar análisis funcional del modelo de negocio.• Definir, gestionar y personalizar proyectos estratégicos de BI y CPM.• Contratación directamente en cliente final. |Proyecto internacional• Titulación en disciplinas técnicas o económicas (Ingeniería de Gestión, Ingeniería Informática, Informática, Administración de Empresas).• Experiencia de 1 a 2 años en consultoría, implementación y gestión de proyectos de BI & CPM.• Buenos conocimientos en lenguajes de programación y bases de datos.• Se valorará experiencia en el software BOARD.Empresa dedicada a consultoría de BI.Oportunidad Contrato indefinido y paquete salarial y beneficios competitivos;Ambiente internacional;Oportunidades reales de carrera y crecimiento profesionalEntorno dinámico.",Madrid - España,Consultor,Jornada completa,2 años,Indefinido,27.000 €-36.000 € Bruto/año,2024-01-29,https://www.tecnoempleo.com/bi-epm-consultant-madrid/bi-cpm/rf-a0561760829ad31da64e,tecnoempleo
IT Support Lead,Michael Page,29/01/2024Nueva,"Windows, MacOS","Perfil buscado (Hombre/Mujer)* Demonstrate strong ownership on committed tasks.* Responsible for managing escalations within the GTS Function Onsite scope.* Responsible for monitoring service quality according to KPI´s, creating reports, and data analysis.* Proactively identify gaps, propose improvement actions, and explore solutions.* Suggest or create valuable documentation articles.* Input into team meeting agenda and coordinate operational tasks and BAU.* Be available to support users and provide constructive feedback.* Build profitable relationships with vendors and third-parties, with the ability to negotiate and procure, aligned with budget control.* Maintain confidentiality when dealing with sensitive or personal issues.* Participate in Interviews, lead operational meetings, and project management.• Expertise and interest in Audio-visual and videoconferencing equipment|Spanish is not required* Knowledge of Windows 10, MacOS, networking components, services, inventory tools, deployment software, endpoint management consoles, and user profiles.* Experience coordinating projects such as HW or SW implementation, office moves, assets lifecycle, etc. especially if at international level.* Expertise and interest in Audio-visual and videoconferencing equipment, especially Crestron and MTR devices. Including supporting corporate live events.* Experience with Service ticketing and Inventory tools (GSD, Jira).* ITIL Oriented, ITIL v4 is positively valued.* Ability to innovate and develop creative and efficient solutions (I+D).* Programming and scripting knowledge for automating is very valued.PageGroup SSC• Food Voucher (1540 euros NET/year)• Health Insurance (Cigna)• Life Insurance• Gym discounts • Bonus• Fruit in the office",Barcelona - España,Soporte Técnico,Jornada completa,2 años,Indefinido,,2024-01-29,https://www.tecnoempleo.com/it-support-lead-barcelona/windows-macos/rf-c3b619e7522f8343fe40,tecnoempleo
Project Manager,Page Personnel,29/01/2024Nueva,Project Manager,"Perfil buscado (Hombre/Mujer)• Project Planning: Develop a detailed project plan that includes defining objectives, scope, timelines, required resources, and budget.• Resource Management: Assign tasks and responsibilities to team members, ensuring they have the necessary resources to carry out their functions.• Progress Monitoring: Oversee project progress to ensure deadlines are met and established milestones are achieved.• Risk Management: Identify and assess potential project risks, develop mitigation strategies, and be prepared to address unforeseen issues.• Communication: Keep all stakeholders informed about project progress, potential issues, and implemented solutions.• Team Coordination: Facilitate collaboration among team members and ensure effective communication.• Problem Solving: Address problems and challenges that arise during the project, seeking effective solutions and minimizing negative impacts.• Important Company in Barcelona|Searching for a Project Manager• Strong communication skills.• Ability to present complex technical concepts to a non-technical audience.• Must be proactive, innovative, and creative in meeting user needs.• Customer service-oriented and empathetic to user demands.• Ability to work independently with minimal supervision.• Energy and enthusiasm for learning, along with a clear desire to continue to develop and grow in knowledge and experience.• Team player.• Organizational and leadership skills.• Able to work on multiple projects simultaneously.Important company located in Barcelona.Carrer GrowthFlexible CompensationFlexible scheduleRemote",Barcelona (Híbrido),Jefe de Proyecto,Jornada completa,3 años,Indefinido,,2024-01-29,https://www.tecnoempleo.com/project-manager-hibrido/project-manager/rf-55d9181ce2da03c3174f,tecnoempleo
Analista java,CAS TRAINING,29/01/2024Nueva,java,"Cas training selecciona a dos analistas programadores con experiencia de al menos tres años de experiencia en java como en la elaboración de documentación , pruebas.. para proyecto remoto",Remoto -  Madrid - España,Analista,Jornada completa,3 años,Indefinido,27.000 €-33.000 € Bruto/año,2024-01-29,https://www.tecnoempleo.com/analista-java-madrid/java/rf-650515e702b4d3250b4b,tecnoempleo
SAP Business One Consultant,Michael Page,29/01/2024Nueva,SAP Business One,"Perfil buscado (Hombre/Mujer)Reportando al responsable y Cordinador de IT corporativo, entre tus principales funciones podemos destacar:• Configuración y Mejora de SAP B1.• Colaborar con los usuarios finales y equipos funcionales para comprender y documentar los procesos de negocio.• Análisis y Optimización de Procesos: para identificar áreas de mejora y eficiencia.• Proponer y Documentar muy detalladamente soluciones basadas en SAP B1 que optimicen la funcionalidad y la productividad.• Proporcionar formación a usuarios finales sobre el uso eficaz de SAP B1 y garantizar el uso óptimo del producto SAP BO.• Empresa multinacional con headquarter Europeo en la provincia de Barcelona.|Consultor ERP funcional con experiencia en SAP B1.• Título universitario en un campo relevante.• Experiencia como Consultor SAP B1 y en proyectos del ERP.• Conocimiento de procesos comerciales, administración, y mejores prácticas.Será de gran valor que tengas:• Conocimientos de Herramientas de Reporting (Power BI, Crystal Report,...).• Experiencia con HANA y habilidades en SQL.• Excelentes habilidades de comunicación e interpersonales.• Habilidades de gestión de proyectos.• Inglés.Empresa multinacional en pleno proceso de integración para convertirse en el HeadQuarter Europeo.• Oportunidad de trabajar en proyectos de unificación de procesos Europeos de las compañías del grupo.• Ambiente de trabajo colaborativo y enfocado en el crecimiento profesional.• Remuneración competitiva y beneficios adicionales.",Barcelona - España,Consultor,Jornada completa,3 años,Indefinido,,2024-01-29,https://www.tecnoempleo.com/sap-business-one-consultant-barcelona/sap-business-one/rf-e9bf19c832bf1343df4d,tecnoempleo
Fullstack .Net,Michael Page,29/01/2024Nueva,"Net, NET Core","Perfil buscado (Hombre/Mujer)Trabajarás con un equipo multidisciplinar en varios proyectos. Desde la fase de inicio, toma de requerimientos, hasta la implementación en distintas áreas de la compañía pasando por diferentes aplicaciones.Y poco a poco ir ganado autonomía y aportar el máximo valor a proyecto.• Proyecto estable, 100% teletrabajo|Formarás parte de un ecosistema de Talento Tecnológico- Al menos 2 años de experiencia laboral en la parte de front con Js (Angular, Vue, React) o en el back con ASP.NET Core.- Experiencia con SQL- Conocimientos con API Rest, JSON, Git, etc.- Importante: tener actitud e iniciativa.Valorable: - Experiencia Python y Azure.- Conocimientos de CI/CD, Docker, TDD, Scrum, etc.Page Consulting Tech Solutions, es el área de PageGroup especializada en la realización de proyectos IT en clientes, ofreciendo una amplia variedad de soluciones tecnológicas a medida con la flexibilidad y agilidad requerida. • Contrato indefinido con Page Tech Solution• Salario: 30-45k• Modalidad: 100% remoto• Formación continua para desarrollar tu talento• Beneficios sociales y plan de retribución flexible.• Compensación de gastos de teletrabajo• Plan de carrera en un ecosistema de talento tecnológico.* Solo residentes en España",100% En remoto,Programador,Jornada completa,2 años,Indefinido,30.000 €-45.000 € Bruto/año,2024-01-29,https://www.tecnoempleo.com/fullstack-net-remoto/net-net-core/rf-ca171d86c232c3300748,tecnoempleo
Técnico de Soporte,Page Personnel,29/01/2024Nueva,"soporte, Workspace One","Perfil buscado (Hombre/Mujer)- Atención a usuarios in situ/ remoto - Resolución de incidencias- Atención a clientes.- Formación a clientes en UEM. Fabricantes como Soti-Ivanti-VMware-Microsoft• Técnico de Soporte - Híbrido|San Fernando de Henares- Formación FPII ASIR o superior- Conocimiento Cloud- Conocimiento Workspace One o Ivanti EPMM- Inglés B2Empresa IT especializada, con mucho foco en formaciónContrato IndefinidoSalario: 22-24K según perfil2 días teletrabajo/ semanaOficinas en San Fernando de HenaresHorario 08.30-18h/ Viernes de 09-15h Plan de formación/ Certificaciones facilitadas por empresaSeguro médico y dental",Madrid (Híbrido),Soporte Técnico,Jornada completa,2 años,Indefinido,,2024-01-29,https://www.tecnoempleo.com/tecnico-soporte-hibrido/soporte-workspace-one/rf-e8a21fc86221a3957445,tecnoempleo
Ingeniero/a de Testing,GMV,29/01/2024Nueva,"C, C++, C#, Matlab","Si eres de los que, tras aparcar, comprueba dos veces que ha cerrado el coche...¡Tu sitio está connosotros! Estamos ampliando nuestros equipos la División de Sistemas de Transporte Inteligente (ITS), buscamos un/a Ingeniero/a de Testing, para encargarse del aseguramiento de la conformidades productos HW: requisitos, certificaciones y estándares internos de calidad.Nos gusta ir al grano, tevamos a contar lo que no está en la red. Si quieres saber más sobre nosotros, accede a la web de GMV.¿A QUÉ RETO TE VAS A ENFRENTAR?En nuestro equipo te ocuparás de la planificación, definición, ejecución y reporte de la verificación y validación de los productos HW durante las fases de diseño, prototipado, pre-serie yproducción.  Desarrollo de herramientas, set-up del entorno, instalación del sistema en pruebas, etc.- Validación, Verificación y Testing HW.       - Certificaciones de Equipos HW (CE, otros).            - Diseño de sistemas de HW y su firmware.               - Experiencia en herramientas de gestión de requisitos y pruebas, ejecución de pruebas, gestiónde defectos, gestión de configuración.  - Producción de PCBs, conocimiento de componentes, tipos de soldaduras, métodos de montaje, etc.            - Programación microcontroladores.            - Fabricación de prototipos.             - Diseño y programación de sistemas VHDL.             - Experiencia en control de calidad de producción.¿QUÉ NECESITAMOS EN NUESTRO EQUIPO?Para este puesto, estamos buscando Ingenieros/as con exeperiencia en Tecnologías:Matlab, simulink, LabVIEW, Scripting, C#, C/C++, ensamblador  y Conocimientosteóricos de Ingeniería de Sistemas.También valoraremos experiencia en productos deSistema de transporte inteligente.¿QUÉ TE OFRECEMOS?💻 Modelo de trabajo híbrido y 8 semanas alaño de teletrabajo fuera de tu área geográfica habitual🕑 Horario flexible de entrada y salida, y jornada intensiva viernes y verano. 🚀 Desarrollo de plan de carrera personalizado,formación y ayuda para el aprendizaje de idiomas.🌍 Movilidad nacional e internacional. ¿Vienes de otro país? Te ofrecemos un relocation package. 💰 Retribución competitiva con revisionescontinuas, retribución flexible y descuento en marcas. 💪Programa Wellbeing: seguro médico,dental y de accidentes; fruta y café gratis, formación en salud física,mental y económica, y ¡mucho más!⚠️ En nuestros procesos de selecciónsiempre tendrás contacto telefónico y personal, presencial u online, connuestro equipo de talent acquisition. Además, jamás se solicitarántransferencias ni tarjetas bancarias.  Si contactan contigo siguiendo otroproceso, escribe a nuestro equipo a la dirección de correo privacy@gmv.com❤️Promovemos la igualdad de oportunidades en lacontratación comprometidos con la inclusión y la diversidad       ¿AQUE ESPERAS? ÚNETE                    Si tienes alguna pregunta no dudes en contactar con Alejandra Estévez Melgarejo, responsable de esta vacante.                   Alejandra Estévez Melgarejo",Valladolid (Híbrido),Tester,Jornada completa,2 años,Indefinido,,2024-01-29,https://www.tecnoempleo.com/ingeniero-testing-hibrido/c-c-c-matlab-simulink-labview/rf-068e17b062c363081942,tecnoempleo
Planificadores Batch ControlM Distribuidos. Ingles,Grupo NS,29/01/2024Nueva,Control M,"En Grupo NS, seleccionamos Planificadores Batch con Control M en entornos distribuidos con experiencia en servicios de operación, monitorización y planificación de procesos en sistemas críticos. Ofrecemos participación en proyecto de primer nivel en sector financiero, en modalidad híbrida (50% teletrabajo - 50% presencial). Ubicación Madrid (Boadilla)Grupo NS es una empresa donde se valora tanto el perfil profesional y tecnológico de los trabajadores así como el interés y la aptitud que demuestren a la hora de desarrollarnuevos proyectos en sus diversos clientes. Por ello, necesitamos personas constantes, con ganas de evolucionar y aprender, responsables y con compromiso.Para los perfiles de Planificadores, es necesario aportar:* Conocimiento avanzado del planificador Control M, en Sistemas Distribuidos* Conocimiento avanzadoen Sistemas Windows y Linux* Alto nivel de inglés, de forma que pueda mantener una conversación fluida en dicho idioma (deseable C1 o, en su defecto, B2 avanzado).* Disponibilidad para trabajar a turnos 24x7, modalidad híbrida.Las funciones a desempeñar y en las que se debe aportar experiencia son:* Automatización de tareas* Despliegue de aplicaciones* Configuración de SW* Orquestación de tareas (despliegues continuos, actualizaciones, etc.)",Madrid (Híbrido),Técnico de Gestión,Jornada completa,2 años,Indefinido,,2024-01-29,https://www.tecnoempleo.com/planificadores-batch-controlm-distribuidos-ingles-/control-m/rf-10161e34b2d42349184c,tecnoempleo
