titulo,empresa,fecha,herramientas,descripcion,ubicacion,experiencia,tipo_contrato,salario,fecha_scrapeo,url,portal
Arquitecto/a de Sistemas Software,GMV,2024-01-24,"['Arquitecto Software', 'SQL', 'JavaScript', 'React', '.NET', 'C#', 'C / C++', 'Gestores de BD (SGBD)', 'SQL Server']","¿Buscas un sitio innovador y consolidado en el que desarrollarte profesionalmente? GMV somos un grupo tecnológico con amplia experiencia.Estamos ampliando nuestros equipos en laDivisión de Transporte,buscamos un/unaArquitecto/a de Sistemas Softwarepara dar apoyo en importantes proyectos, siendo un pilar clave en elDiseño y Desarrollo de SolucionesparaSistemas de Transporte Inteligente (ITS).¿A QUÉ RETO TE VAS A ENFRENTAR?Tus principales responsabilidades incluirán:Diseñar y revisar arquitecturas de sistemas software para la gestión de flotas (FMS), integrando soluciones avanzadas como sistemas de video-vigilancia y conducción eficiente.Liderar el desarrollo de microservicios cloud-native (AWS, Google Cloud, Azure) utilizando tecnologías punteras como .NET C#, React, y otras.Trabajar en estrecha colaboración con equipos multidisciplinarespara garantizar la integración y eficacia de las soluciones de software.¿QUÉ NECESITAMOS EN NUESTRO EQUIPO?Para esta posición, estamos buscando profesionales conGrado en Ingeniería Informática, Software, o carreras afines.Experiencia en arquitectura de sistemas software, Conocimientos avanzados y experiencia en .NET C#, React, C++, SQL Server, Capacidad para liderar eldiseño de sistemas complejos, asegurando la calidad y la integración de diferentes componentes de software yExperiencia en metodologías de desarrollo ágil y prácticas de integración continua, incluyendo pruebas unitarias y de integración.Valoraremos positivamente conocimientos o experiencia en Transporte Público.¿QUÉ TE OFRECEMOS?Modelode trabajohíbridoy4 semanasal año deteletrabajofuera de tuárea geográfica habitual.Horario flexiblede entrada y salida, y jornada intensiva viernes y verano.Desarrollo deplan de carrera personalizado, formación y ayuda para elaprendizaje de idiomas.Movilidadnacional e internacional. ¿Vienes de otro país? Te ofrecemos unrelocation package.Retribución competitivaconrevisiones continuas, retribución flexible y descuento en marcas.Programa Wellbeing: seguro médico, dental y de accidentes; fruta y café gratis, formación en salud física, mental y económica, y ¡mucho más!En nuestros procesos de selección siempre tendrás contacto telefónico y personal, presencial u online, con nuestro equipo de talent acquisition. Además, jamás se solicitarán transferencias ni tarjetas bancarias. Si contactan contigo siguiendo otro proceso, escribe a nuestro equipo a la dirección de correo privacy@gmv.com.Promovemos la igualdad de oportunidades en la contratación comprometidos con la inclusión y la diversidad.¿A QUE ESPERAS? ÚNETE","['28760 Tres Cantos, Madrid, España', ' 47151 Boecillo, Valladolid, España']",Experiencia de 2 a 5 años,Indefinido,,2024-01-31,https://ticjob.es/esp/busqueda/trabajo/arquitecto-sistemas-software/62541,ticjob
Embedded Software Engineer IoT (Híbrido),Triangle Talent Solutions,2024-01-24,"['Admin. Software', 'Esp. Teleco / Redes', 'Ingeniero de Seguridad']","Empresa con un alto componente tecnológico y basada en I+D vinculada a la movilidad vehicular, el vehículo conectado e IoT.Continuando con su plan de crecimiento y desarrollo, quieren incorporar un EMBEDDED SW ENGINEER.ROL:Embedded Software Engineer IoT (Híbrido)FUNCIONES:Desarrollo de software para dispositivos electrónicos microprocesados y sistemas Embedded.Programación de firmware para microprocesadores en C (IAR, Polyspace, Greenhill, CodeWarrior).Programación de microcontroladores Cortex alrededor de IAR, convertidores.Programación, Integración de Sistemas de Comunicación (CAN, Wifi, SPI, I2C, NFC, etc.).TE OFRECEN:Modelo híbrido de trabajo.Contrato indefinido.Proyectos tecnológicos e innovadores en el ámbito multicultural y equipos multidisciplinarios.Plan de carrera profesional y desarrollo interno. Podrás adquirir o perfeccionar conocimiento en las tecnologías que utilizamos, así como mejorar sus habilidades naturales.Plan de retribución flexible.Actividades de equipo y eventos de empresa.Trae tu propio estilo, ¡no tienen código de vestimenta!Promueven la igualdad de oportunidades en la contratación y están comprometidos con la inclusión y diversidad¿Te parece un proyecto interesante? ¡Excelente!Aplica y te contactaremos en los próximos días.REQUISITOS:Ingeniería técnica en Electrónica/Telecomunicaciones o estudios superioresAl menos tres (3) años de experiencia trabajando en un rol deSoftwareintegrado.Sólidos conocimientos de software integrado.Dominio de los lenguajes de programación: C.Desarrollo de comunicacionesBluetooth, WIFI, GSM, GPS, SPI, I2C.Conocimientos con plataformas HW basadas en microcontroladoresTI, ST, NXP, etc.Conocimiento de los entornos de desarrolloHW, Spice, Orcad.Conocimientos en diseño de placas de circuito impreso (PCB).Fluido en inglés.Carné de conducir B1 y vehículo propio.Empresa con sede central en Olot (Girona): Se requiere disponibilidad para desplazarse 2 días a la semana de forma presencial a Olot.","Barcelona, España",Experiencia de 2 a 5 años,Indefinido,36.000 - 42.000,2024-01-31,https://ticjob.es/esp/busqueda/trabajo/embedded-software-engineer-iot-hibrido/60873,ticjob
Desarrollador Fullstack,Capgemini,2024-01-24,"['Programador', 'Fullstack', 'SQL', 'SOAP', 'Metodologías', 'Agile', 'Jenkins', 'Java', 'REST', 'GIT', 'Version Control System (VCS)', 'Redes', 'Scrum', 'JPA / Hibernate']","En el ADCenter de Capgemini continuamos creciendo gracias a nuevos e innovadores proyectos internacionales de importantes clientes que cada día depositan su confianza en nosotros.Buscamos desarrollador@s con una experiencia mínima de 3 años en desarrollo de software, con nivel alto de inglés y/o francés y pasión por la tecnología e interés en crecer profesionalmente en un ecosistema de alto talento tecnológico, ambiente multicultural, joven, dinámico y activo, cultura abierta y mentalidad emprendedora.Rol:Desarrollador FullstackPerfil Técnico:Al menos tres (3) años de experiencia en desarrollo enJava.Conocimiento debases de datos SQL y/o ORM estándar (Hibernate, JPA).REST, SOAP, HTTP y conceptos general de web.GIT e Integración Continuo (Jenkins, Travis, Gitlab, TeamCity etc).Algoritmos, patrones comunes y mejores prácticas.MetodologíasAgile, Scrum o SAFE.Formar parte de nuestro centro, no implica solo el desarrollo de un rol técnico dentro de un proyecto concreto, sino la responsabilidad de innovar, aportar, salir de tu zona de confort y apostar por el crecimiento y evolución del centro como parte de nuestro día a día.La persona seleccionada se unirá a un centro en constante evolución, pudiendo optar una vez incorporada por diferentes líneas donde desarrollar su carrera (arquitectura, gestión, funcional, desarrollo).¿Qué ofrecemos?Contrato indefinido desde el primer día.Posibilidad de Teletrabajo hasta un 80%.Jornada intensiva los viernes y los meses de verano.Beneficios sociales (Tarjeta Restaurant, seguro médico, seguro de vida, tickets guardería,...).Programa de alimentación saludable, ¡Tendrás fruta gratis todos los días!Plan de carrera y planes formativos adaptados a tu rol.Acceso a más de 400 acciones formativas internas.Excelente ambiente de trabajo.¡Tómate un break!, hay café gratis para todos los en la cocina.Entorno internacional, con posibilidades de viajar.Acceso al plan de compra de acciones ESOP de la compañía.Conócenos mejor, visita nuestra web: https://www.capgemini.com/es-es/service/adcenter-spain/","['Valencia, España', ' Murcia, España']",> 2 años experiencia,Indefinido,,2024-01-31,https://ticjob.es/esp/busqueda/trabajo/desarrollador-fullstack/57820,ticjob
Arquitecto/a de Software,Sopra Steria ,2024-01-24,"['Backend', 'Arquitecto Software', 'Microsoft Azure', 'Amazon Web Service (AWS)', 'Python', 'Linux', 'Tecnologías Cloud', 'Jenkins', 'Java', 'Spring', 'Version Control System (VCS)', '.NET', 'Virtualización', 'Docker', 'Kubernetes']","FuncionesEn Sopra Steria trabajamos para hacer posible la transformación digital de nuestros clientes y para conseguirlo necesitamos seguir creciendo y sumando gracias a personas como tú.Nuestros empleados/as coinciden en el gran equipo y ambiente que formamos en Sopra Steria. Somos 50.000 personas trabajando en 30 países y nuestra misión es unir talento y tecnología, tratando de ayudarte a que encuentres un lugar en el que poder desarrollar todo tu potencial.¿Te atreves a crear el futuro?Buscamos ampliar el equipo de arquitectura de nuestra Agencia Levante, y para ello nos gustaría incorporar una figura con sólida experiencia en ingeniería del software y en soluciones end 2 end. Como Arquitecto/a colaborarás en el marco de los proyectos definiendo e implantando una arquitectura técnica basada en ""arquitecturas modernas"". Algunas funciones en tu día a día serán:Diseñar arquitecturas de software.Analizar los requisitos del entorno tecnológico de una compañía y proponer alternativas de mejor funcionalidad y rendimiento.Detallar requisitos funcionales y de sistemas para construir el plan de trabajo de la propuesta seleccionada.Coordinar técnicamente el equipo para completar la implantación de los requisitos definidos.Crear prototipos de soluciones para su validación en campo.Liderar técnicamente el equipo para que se cumplan los objetivos del proyecto.Colaborar en la planificación de las tareas del equipo.RequisitosPara ello, nos gustaría que aportaras sólida experiencia en las funciones descritas y background técnico en...Diseño y desarrollo de aplicaciones y componentes de arquitectura basados en patrones MVC y DDD, desarrollo SOLID, patrones de diseño y patrones de Integración y diseño de bases de datos, arquitecturas de microservicios: Uso de patrones, EDA, microservicios, APification.Experiencia realizando desarrollos siguiendo prácticas de TDD y testing.Experiencia contrastada en desarrollo cloud (Google, AWS, Azure) e infraestructura IT y de comunicaciones.Tecnologías: Backend (Java-Spring / Python / .Net) , Infrastructure-as-a-Service (IaaS), Platform-as-a-Service (PaaS), Software-as-a-Service (SaaS).Plataformas/Tecnologías: DevOps (Linux, Docker, Kubernetes, Jenkins, Sonar, Nexus), CI/CD, Application Lifecycle Management (ALM), observabilidad (ELK, Dynatrace,...).Flujo de Autenticación y Autorización (estándares OAuth2 y OpenID Connect).Asimismo, para desarrollar la posición, necesitamos....Capacidad de trabajo en equipo.Capacidad de análisis y toma de decisiones basadas en dichos análisis.Capacidad comunicativa interna y externa.Comunicación persuasiva y de negociación con compañeros/as y clientes.Capacidad de gestión de tareas técnicas del equipo.Se ofrecePorque sabemos lo que necesitas...Facilidades para ti, para tu tiempo. ¡No todo va a ser trabajo!Participa en proyectos retadores. ¿Te animas a aprender algo nuevo?Crece con un programa de desarrollo continúo personalizado.Disfruta de nuestros Beneficios y accede al Plan de retribución flexible.Continúa formándote con nosotros: Tecnología, habilidades, metodologías e idiomas.¡Atrévete a trabajar de una forma diferente y conócenos!","Valencia, España",> 6 meses experiencia,Indefinido,,2024-01-31,https://ticjob.es/esp/busqueda/trabajo/arquitecto-software/62717,ticjob
Ingeniero/a de Software Frontend (React),GMV,2024-01-24,"['Frontend', 'Fullstack', 'AngularJS', 'CSS / CSS3', 'Metodologías', 'JavaScript', 'Angular', 'React', 'HTML', '.NET', 'Core']","Si ves que tu futuro va a ir sobre ruedas .... ¡Tu sitio está con nosotros!Estamos ampliando nuestros equipos en el sector deSistemas de Transporte Inteligente,buscamosun/a Ingeniero/a de Software Frontendpara participar en proyectos de diseño y desarrollo de las soluciones tecnológicas mas novedosas aplicadas al mercado del Transporte.¿A QUÉ RETO TE VAS A ENFRENTAR?En nuestro equipodesarrollarás las siguientes funciones:Participar en el diseño y la implementación de historias de usuario y tareas técnicas.Escribir código limpio (clean code), listo para ser desplegado, escalado y mantenido.Escribir código testable.Contribuir activamente en las revisiones de código, asegurando buenas prácticas en el código.Trabajar colaborativamente en equipos multidisciplinares utilizando metodologías ágiles.Proponer nuevas ideas.¿QUÉ NECESITAMOS EN NUESTRO EQUIPO?Para este puesto, estamos buscando expertos con experiencia y conocimientos deHTML, CSS y frameworks JavaScript (React, Angular...) y Unit Testing.También valoraremos experiencia previa, y conocimientos de.NET Core Framework o similar , ORMs y desarrollo de microservicios y API´s RESTful.¿QUÉ TE OFRECEMOS?Modelode trabajohíbridoy8 semanasal año deteletrabajofuera de tuárea geográfica habitualHorario flexiblede entrada y salida, y jornada intensiva viernes y verano.Desarrollo deplan de carrera personalizado, formación y ayuda para elaprendizaje de idiomas.Movilidadnacional e internacional. ¿Vienes de otro país? Te ofrecemos unrelocation package.Retribución competitivaconrevisiones continuas, retribución flexible y descuento en marcas.Programa Wellbeing: seguro médico, dental y de accidentes; fruta y café gratis, formación en salud física, mental y económica, y ¡mucho más!En nuestros procesos de selección siempre tendrás contacto telefónico y personal, presencial u online, con nuestro equipo de talent acquisition. Además, jamás se solicitarán transferencias ni tarjetas bancarias. Si contactan contigo siguiendo otro proceso, escribe a nuestro equipo a la dirección de correo privacy@gmv.comPromovemos la igualdad de oportunidades en la contratación comprometidos con la inclusión y la diversidad.¿A QUE ESPERAS? ÚNETE","['47151 Boecillo, Valladolid, España', ' 28760 Tres Cantos, Madrid, España']",<6 meses experiencia,Indefinido,,2024-01-31,https://ticjob.es/esp/busqueda/trabajo/ingeniero-software-frontend-react/62533,ticjob
Automatización de Informes,Telefónica,2024-01-24,"['Resp. Entrega de Servicios', 'Gestor de Cambios', 'Programador', 'Téc. de Mantenimiento / de Campo', 'Analista-Programador', 'MS Power BI', 'Gestores de BD (SGBD)', 'Business Intelligence', 'SQL Server']","¿Tienes certificado de discapacidad y un perfil tecnológico? Telefónica y la tecnología rompen barreras...En Telefónica estamos convencidos de que promover la diversidad y la inclusión supone una gran oportunidad para conectar talento, crecer como compañía y, en última instancia, como sociedad. Hay un lugar para todos los tipos de talento. ¿Cuál es el tuyo?Tenemos el propósito de garantizarla inclusión de personas con discapacidad en nuestros equiposdentro del marco de la Ley General de derechos de las personas con discapacidad.Si es tu caso, puedes responder, voluntariamente, a la siguiente pregunta que encontraras cuando avances en tu inscripción: ¿tienes certificado de discapacidad superior al 33%? SI/NO.”Creemos firmemente que son las personas como tú, las que dan sentido a la tecnología y no al revés. En Telefónica España impulsamos modelos de trabajo, basados en la confianza, la sostenibilidad y el bienestar de los equipos. Buscamos la mejor forma de conectar tu talento con el nuestro. ¿Te apuntas? Transformamos las nuevas formas de trabajo para conectar Talento.ROL:Automatización de InformesLUGAR DE TRABAJO:MADRIDQUEREMOS GENTE COMO TÚ:Carga de datos automática, ejecución de informe y entregable de puesto de trabajo según el modelado de datos definidos por el área.FORMACIÓN:Se valorará Grado Superior/Medio en Informática y Tecnologías de la Información, Matemáticas, Estadística...CONOCIMIENTOS:Valoramos conocimientos de:Conocimientos deSQL Server, Power Automate,Power BI,Excel avanzado, además de conocer el ámbito de un Servicio de Puesto de trabajo.Conocimiento general sobre los procesos de Puestos de Trabajo.Conocimiento sobre tecnologías de análisis de datos.CUANDO TE UNES A TELEFÓNICATe unes a casi 100 años de historia a un equipo que trabaja por conectar a las personas allá donde estén, sin fronteras. Un equipo que está liderando la revolución digital con la ilusión del primer día en todos nuestros negocios, creando el mejor ecosistema digital para nuestros clientes: Red, IoT, Cloud, Ciberseguridad, Innovación etc. En Telefónica tienes todo lo que necesitas para crear la mejor versión de ti mismo. Necesitamos gente como tú que se sume a este gran reto, que quiera crear la Telefónica del mañana.Telefónica España, el mejor lugar para trabajar. El equilibrio entre la vida profesional y personal es cada vez más relevante en nuestra sociedad. Por eso, desde Telefónica España apostamos por la flexibilidad, posicionándonos como referente en nuevas formas de trabajo, horarios, jornadas y medidas de conciliación. En nuestra empresa disfrutarás de un gran número de medidas de conciliación y flexibilidad, que suponen iniciativas de alto impacto para todas las personas que formamos parte de esta compañía.Somos conscientes de que la mejor manera de afrontar cualquier situación es apoyarnos en la inteligencia colectiva y el talento de todas las personas que formamos parte del equipo.En Telefónica España hay un lugar para ti, seas quien seas. Promovemos una cultura de igualdad en todas las dimensiones de la diversidad; género, generacional, LGBT+, discapacidad... pero por encima de todo, diversidad de pensamiento. Estamos 100% comprometidos con la igualdad de oportunidades. La diversidad y la inclusión forman parte de nuestra estrategia de Compañía a través de un sólido Plan de Igualdad.","Madrid, España",> 2 años experiencia,Indefinido,,2024-01-31,https://ticjob.es/esp/busqueda/trabajo/automatizacion-informes/61713,ticjob
"Analista Programador/a Java, /PLSQL (Sector Agroseguros) (Madrid)",Grupo Digital,2024-01-24,"['Analista-Programador', 'JSF', 'Java', 'Oracle', 'Spring', 'JPA / Hibernate']","Description:Desde GRUPO DIGITAL estamos buscando perfiles de analistas programador@s Java/PLSQL con experiencia en sector agrosegurosMinimum requirements:5 años de experiencia en:Java / J2EE (valorable con experiencia en frameworks como Spring, Hibernate .Oracle / PL-SQL.Sector seguros y agroseguros.Condiciones Laborales:Ubicación: MadridHorario: jornada completa de 9 a 18h.Proyecto estableGrupo DigitalSomos un grupo de empresas tecnológicas, formado actualmente por unos 400 profesionales, en distintas áreas: desarrollo, sistemas, ingeniería automática, consultoría... Si quieres impulsar tu carrera con un proyecto único de la mano de una multinacional de primerísimo nivel, no dudes en presentar tu candidatura. ¡Te esperamos!","Madrid, Madrid, Comunidad de Madrid, España",> 2 años experiencia,Indefinido,,2024-01-31,https://ticjob.es/esp/busqueda/trabajo/analista-programador-java-plsql-sector-agroseguros-madrid/62740,ticjob
Analista Programador/a Delphi,Serem,2024-01-23,"['Programador', 'Analista de Negocio', 'Analista Orgánico / Técnico', 'Analista-Programador', 'Analista Funcional', 'PL/SQL', 'Delphi', 'Oracle']","Desde SEREM buscamos incorporar un Analista Programador/ora Delphi para importante cliente en Madrid o Alicante.REQUISITOS:DelphiIngles B2.PL/SQL.UBICACION:Madrid o Alicante.Fomentamos un ambiente de trabajo multicultural e inclusivo, no discriminamos por edad, género o creencias; así como ofrecemos igualdad de oportunidades a todo el personal.Desarrollamos nuestras actividades bajo los principios del cuidado del medioambiente, la sostenibilidad y la responsabilidad social corporativa; colaborando en proyectos de reforestación y sostenibilidad.Apoyamos los 10 principios del Pacto Mundial y los 17 Objetivos de Desarrollo Sostenible, en materia de derechos humanos, condiciones laborales, medio ambiente y anticorrupción.Los procesos de reclutamiento se desarrollan bajo altos estándares de calidad definiendo la incorporación en base a la experiencia y habilidades del candidato.","['Madrid, España', ' Alicante (Alacant), Alicante, España']",,Indefinido,,2024-01-31,https://ticjob.es/esp/busqueda/trabajo/analista-programador-delphi/62739,ticjob
Product Owner enfocado a parte Técnica - CLIENTE FINAL,Digital Talent Agency,2024-01-23,"['Backend', 'PMO. Gestor Oficina de Proyectos', 'Resp. de Lanzamiento/Producto', 'Resp. del Programa', 'Scrum', 'Metodologías', 'JIRA', 'ERP']","¿Quieres formar parte de una compañía internacional de restauración en plena expansión con amplias posibilidades de crecimiento?¡Entonces sigue leyendo porque esto te interesa!Buscamos un perfil comoProduct Ownerpara incorporarse al equipo de nuestro cliente, consede en Pozuelo, (Madrid),para unirse a nuestra área de Desarrollo de IT, con sede en Madrid, para diseñar, desarrollar e integrar las soluciones de IT trabajando estrechamente con nuestros socios. Trabajarás en un equipo innovador y comprometido con el objetivo de crear las mejores soluciones en las aplicaciones corporativas.Esta es una oportunidad única para unirse y crecer en un entorno de rápido crecimiento, con un gran sentido de empatía con el cliente y desafíos tecnológicos.En Digital Talent Agency te ofrecemos desarrollar proyectos en empresas destacadas del sector tecnológico, encontrando el balance perfecto entre tu vida personal y profesional.Valoramos tu experiencia y ponemos el foco en la motivación, qué te gusta y qué tipo de proyectos quieres participar.Formamos parte de Zemsania Global Group y juntos, contamos con más de 20 de años de experiencia en asesoramiento profesional a candidatos y búsqueda y selección de perfiles tecnológicos.Nuestro cliente es uno de los principales grupos de restauración en el mercado español que integra diferentes marcas ampliamente conocidas,¿Qué te hará triunfar en esta posición?Experiencia laboral demostrable deal menos 5 añosen gestión de proyectos y en gestión de la demanda, utilizando herramientas similares a JIRA,Experiencia previa en integraciones de Software Corporativo (ERP, Payroll, BPM, etc.)Capacidad para trabajar en un entorno de rápido crecimiento.Habilidades de team building.Se valorará buen nivel de inglés, pero no es obligatorio.¿Cuáles serán tus funciones en el día a día?Product Owner/Business Analyst para soluciones informáticas de front & backend, (buscamos un perfil enfocado a la parte técnica)Responsable del producto y la coordinación del equipo técnico y equipo de negocio,Proporcionar asesoramiento de IT a las partes interesadas del negocio,Alinear hitos y requisitos,Seguimiento e informes de proyectos/evolutivos/incidencias,Se ofrece:Contratación Indefinida con un cliente final, líder en la industria QSR.Modelo híbrido de teletrabajo / oficina ubicada en Pozuelo de Alarcón, Madrid.Formación idiomas / tecnología,Proyección laboral en una compañía en expansión.Salario competitivo según experiencia aportada.Retribución flexible,Y mucho más...¡Inscríbete ahora!","Pozuelo de Alarcón, Madrid, España",> 2 años experiencia,Indefinido,,2024-01-31,https://ticjob.es/esp/busqueda/trabajo/product-owner-enfocado-parte-tecnica-cliente-final/62738,ticjob
Consultor SAP ERP Logistica (Madrid),Grupo Digital,2024-01-23,"['Consultor (Esp.)', 'SAP', 'Fiori']","Description:Desde Grupo Digital Seleccionamos Consultores/as SAP S4 para proyecto estableMinimum requirements:Consultor con más de 3 años experiencia en SAP S4SAP ERP - LOGISTICS GENERAL (LO)SAP EXTENDED WAREHOUSE MANAGEMENT (EWM)Consultor experto en SAP S4 ERP Logistica con experiencia en implementaciones en los principales flujos: Purchase to pay / Plan to produce / Order to cash.Se valorarán conocimientos en entorno de Manufacturing, Extended warehouse management asi como ARIBA, BRIM y entornos con alto grado de integraciones con otros sistemas SAP & Non SAP.Capacidad analítica y conocimiento elevado y actualizado de nuevos procesos y Fiori apps aplicados a los flujos solicitados.Grupo DigitalSomos un grupo de empresas tecnológicas, formado actualmente por unos 400 profesionales, en distintas áreas: desarrollo, sistemas, ingeniería automática, consultoría... Si quieres impulsar tu carrera con un proyecto único de la mano de una multinacional de primerísimo nivel, no dudes en presentar tu candidatura. ¡Te esperamos!","Madrid, Madrid, Comunidad de Madrid, España",> 6 meses experiencia,Indefinido,,2024-01-31,https://ticjob.es/esp/busqueda/trabajo/consultor-sap-erp-logistica-madrid/62736,ticjob
Analista de Procesos Banca (Remoto),Triangle Talent Solutions,2024-01-24,"['Analista de Procesos', 'Analista-Programador', 'Access', 'Gestores de BD (SGBD)']","Multinacional estadounidense proveedora de servicios TI selecciona un Analista de Procesos experto en Banca.Rol:Analista de Procesos Banca (Remoto)FUNCIONES:Analizar los diferentes procesos y circuitos de la operativa de su cliente para el diseño de planes de reingeniería y mejora de procesos.Recopilación de las necesidades y aportación de soluciones operativas y funcionales en relación directa con el cliente.Coordinación en la adaptación de soluciones técnicas a grupos de usuarios (equipos técnicos y BackOffice).Participación activa en la fase de implantación, en el control de la ejecución y en la confección de medidas preventivas y correctoras.OFRECEN:Contrato indefinido.Teletrabajo 100%Salario competitivo en función de la experiencia.Plan de carrera.Flexibilidad horaria.Jornada intensiva en verano y navidad.Plan de retribución flexibleREQUISITOS:Imprescindible amplios conocimientos en el sector bancario español.Conocimientos en banca de inversión.Experiencia en la toma de requerimientos o reingeniería de procesos.Experiencia en el análisis y entendimiento de los procesos.Residir en EspañaDominio de ofimática (Excel, PowerPoint, Access, Word, Visio,..)Experiencia en la organización de circuitos y procesos operativos o funcionales en empresas de servicios del sector.Persona responsable, proactiva, con capacidad de aprendizaje e iniciativa. De trato afable en la interlocución con el cliente. Capacidad para trabajar en equipo.Disponibilidad para viajar.VALORABLE:Certificación LEAN SIX SIGMA o similar",España,Experiencia de 2 a 5 años,Indefinido,36.000 - 42.000,2024-01-31,https://ticjob.es/esp/busqueda/trabajo/analista-procesos-banca-remoto/62626,ticjob
Sr. Fullstack Engineer (Node.js & React.js),Q-Tech,2024-01-24,"['Programador', 'Fullstack', 'JavaScript', 'React', 'Node.js', 'TypeScript']","El cliente:Desde Q-tech estamos trabajando con una empresa de referencia global en la industria audiovisual, ofreciendo soluciones integrales para la creación, producción y distribución de proyectos multimedia. Con presencia en 36 países y 58 sedes, su enfoque innovador ha establecido estándares en la industria. Se encuentran buscando a un/a Sr. FullStack Engineer (NodeJS & ReactJS) para unirse al equipo de Innovation y trabajar en el diseño, desarrollo y seguimiento de plataformas OTT para proyectos audiovisuales.El rol:Se trata de una posición centrada en el diseño, análisis, desarrollo, implementación y monitoreo de OTTs para diversos proyectos. El área de Innovation se enfoca en la aplicación de tecnologías vanguardistas en el sector audiovisual, incluyendo inteligencia artificial, tecnologías inmersivas y aplicaciones de plataformas audiovisuales..Funciones:Realizar análisis y definiciones técnicas.Desarrollar e implementar según especificaciones.Resolver incidencias.Realizar pruebas (testing) de los desarrollos.Brindar apoyo y formación a perfiles junior.Seguir las prioridades establecidas.Requisitos:Experiencia de más de cinco (5) años trabajando con Node.js & React JS bajo un entorno de Microservicios.Haber participado en el desarrollo de APIs.Manejo de Git y Pipelines CI/CD.Conocimientos de cloud en GCP y/o AWS.BBDD MariaDB, MongoDB y SQL Server.",España,Experiencia de 5 a 10 años,Indefinido,,2024-01-31,https://ticjob.es/esp/busqueda/trabajo/sr-fullstack-engineer-nodejs-reactjs/62434,ticjob
Desarrollador/a Tibco,Serem,2024-01-24,['Programador'],"¿Buscas nuevas oportunidades? ¡Envíanos tu currículum y descubre el camino hacia el éxito!En serem estamos comprometidos con diversos proyectos y queremos contar con los mejores profesionales del sector.Actualmente nos encontramos en la búsqueda de un/@ Programador/a Tibco, con un mínimo de 3 año de experiencia demostrable trabajando en proyecto de Programación en Tibco .Requisitos y/o funciones:Altos conocimentos BW 5 y 6Experiencia trabajando con IProcess/FOMCondiciones Laborales:Ubicación: EspañaModalidad de trabajo: RemotoFomentamos un ambiente de trabajo multicultural e inclusivo, no discriminamos por edad, género o creencias; así como ofrecemos igualdad de oportunidades a todo el personal.Desarrollamos nuestras actividades bajo los principios del cuidado del medioambiente, la sostenibilidad y la responsabilidad social corporativa; colaborando en proyectos de reforestación y sostenibilidad.Apoyamos los 10 principios del Pacto Mundial y los 17 Objetivos de Desarrollo Sostenible, en materia de derechos humanos, condiciones laborales, medio ambiente y anticorrupción.Los procesos de reclutamiento se desarrollan bajo altos estándares de calidad definiendo la incorporación en base a la experiencia y habilidades del candidato.Somos una empresa española líder en servicios tecnológicos y atracción del talento presente en el mercado desde 1995. Contamos con más de 600 empleados en proyectos tanto nacionales como internacionales en sector TI.",España,Experiencia de 2 a 5 años,Indefinido,42.000 - 48.000,2024-01-31,https://ticjob.es/esp/busqueda/trabajo/desarrollador-tibco/62596,ticjob
Desarrollador/ora Fullstack,Serem,2024-01-23,"['Fullstack', 'SQL', 'Java', 'JavaScript', 'React', 'Tecnologías Cloud', 'Vue.js', 'TypeScript']","¿Buscas nuevas oportunidades? ¡Envíanos tu currículum y descubre el camino hacia el éxito! ¡Visita nuestro enlace de empleo en: [https://www.serem.com/language/es/empleo/envianos-tu-curriculum/] y comienza a construir tu futuro con nosotros!""En SEREM estamos comprometidos con diversos proyectos y queremos contar con los mejores profesionales del sector. Nos encontramos en búsqueda activa un/una Desarrollador/ora Fullstack para importante cliente en una modalidad de 100% teletrabajo.Requisitos.oGIT.o TypeScript.o React.o Data bases.o Deployment tools (AWS o similares).Fomentamos un ambiente de trabajo multicultural e inclusivo, no discriminamos por edad, género o creencias; así como ofrecemos igualdad de oportunidades a todo el personal.Desarrollamos nuestras actividades bajo los principios del cuidado del medioambiente, la sostenibilidad y la responsabilidad social corporativa; colaborando en proyectos de reforestación y sostenibilidad.Apoyamos los 10 principios del Pacto Mundial y los 17 Objetivos de Desarrollo Sostenible, en materia de derechos humanos, condiciones laborales, medio ambiente y anticorrupción.Los procesos de reclutamiento se desarrollan bajo altos estándares de calidad definiendo la incorporación en base a la experiencia y habilidades del candidato.",España,Experiencia de 6 meses a 5 años,Indefinido,,2024-01-31,https://ticjob.es/esp/busqueda/trabajo/desarrollador-ora-fullstack/62737,ticjob
