titulo,empresa,fecha,herramientas,descripcion,ubicacion,funciones,jornada,experiencia,tipo_contrato,salario,fecha_scrapeo,url,portal
Analista programador SAS/Base - SAS/AF,CMV Consultores,26/01/2024Nueva,"SAS/BASE, SAS/AF, JCL, IBM z/Os","CMV Consultores es una empresa de Servicios de IT, dedicada fundamentalmente a la selección de profesionales con perfiles técnicos. Asimismo ofrece a sus clientes servicios de asesoría y soporte en la implantación de soluciones tecnológicas y desarrollo de aplicaciones.¿Estás buscando una nueva oportunidad o un nuevo proyecto?Desde CMV Consultores te brindamos las mejores oportunidades, tanto si estás empezando tu carrera como si tienes experiencia y estás buscando nuevos retos.En colaboración con un importante partner del sector IT precisamos incorporar un perfil ANALISTA / PROGRAMADOR CON EXPERIENCIA EN SAS/BASE - SAS/AF.¿Qué se requiere?- Tener experiencia demostrable en SAS/Base y SAS/AF (requisito indispensable)- Haber trabajado en entornos IBM z/Os o Windows- Conocimiento en JCL¿Cuáles serán tus tareas?- Desarrollo para incorporar nuevas prestaciones evolutivas en las aplicaciones informáticas de soporte.Localización: MadridModalidad: Híbrido: 2 días a la semana presenciales, el resto teletrabajo. ÇProyecto de larga duración (+2 años)",Madrid (Híbrido),Analista,Jornada completa,3-5 años,Indefinido,,26/01/24,https://www.tecnoempleo.com/analista-programador-sas-base-sas-af-hibrido/sas-base-sas-af-jcl-ibm-z-os-/rf-815f11c672aa838ab849,tecnoempleo
Analista en ciberseguridad,Krell Consulting & Training,26/01/2024Nueva,"ciberseguridad, firewall, IPS, WAF","Descripción del trabajoEn Krell-consulting buscamos a una persona con al menos 2 años de experiencia en el campo de la ciberseguridad para desempeñarse como Analista . Esta persona será responsable de analizar, diseñar e implementar soluciones para asegurar la protección de la información en nuestra empresa.-Perfil: Analista en ciberseguridad. -Proyecto para importante. Clienlte y contratación inicial e indefinida con Krell Consulting-Sector: Banca. -Ubicación: Híbrido 3 días presenciales en Madrid -SBA: 29k Funciones:-Apoyar la seguridad cibernética en la empresa, participando en la definición, ejecución y seguimiento de proyectos cibernéticos, controles y actividades de negocios ayudando a fortalecer nuestras defensas contra amenazas internas y externas. Requisitos-Conocimientos en Ciberseguridad en el sector financiero.-Tecnologías obligatorias: Seguridad perimetral, como firewalls, IPS, WAF, protocolos de red, Conocimientos sobre sistemas de prevención de pérdida de datos -Tecnologías secundarias: Antivirus, Sistemas de intrusión, Sistemas de autenticación, detección de malware. -INGLES B2+. -Experiencia 2 años¡TE ESPERAMOS!",Madrid (Híbrido),Analista,Jornada completa,2 años,Indefinido,27.000 €-30.000 € Bruto/año,26/01/24,https://www.tecnoempleo.com/analista-en-ciberseguridad-hibrido/ciberseguridad/rf-7bf3124ae2220383464f,tecnoempleo
Desarrollador BackEnd en Microservicios,Krell Consulting & Training,26/01/2024Nueva,"microservicios, java",Desarrollador Back-End en Microservicios Java (Versión 8 o Superior)¿Eres apasionado por el desarrollo de software y tienes experiencia en la creación de microservicios Java? ¡Esta oportunidad es para ti!Responsabilidades:Desarrollo de microservicios Java de alta calidad.Colaboración estrecha con el equipo para implementar soluciones efectivas.Identificación y corrección de errores en el sistema.Participación activa en el diseño y la implementación de arquitecturas eficientes.Requisitos:Experiencia sólida en desarrollo Back-End en microservicios Java (versión 8 o superior).Conocimiento profundo de los principios de desarrollo de software.Habilidad para trabajar de forma remota y colaborar eficientemente con equipos distribuidos.Apasionado por mantenerse actualizado con las últimas tendencias tecnológicas.Ofrecemos:Oportunidad de trabajo remoto al 100%.Ambiente de trabajo dinámico y colaborativo.Proyectos desafiantes con tecnologías de vanguardia.Desarrollo profesional continuo y posibilidades de crecimiento.,100% En remoto,Analista Programador,Jornada completa,3 años,Indefinido,,26/01/24,https://www.tecnoempleo.com/desarrollador-backend-en-microservicios-remoto/microservicios-java/rf-1f7c18e8b2a4b3b54643,tecnoempleo
IT Manager - Gestor de proyectos,Michael Page,26/01/2024Nueva,"Office 365, Dynamics, SAP","Perfil buscado (Hombre/Mujer)Gestión de los proyectos ITMigración del ERPDefinir, diseñar y ejecutar la estrategia de digitalización en funcion de los objetivos de la empresa.Definir proyectos, procesos y prácticas con Office 365:• Cliente final|Empresa en pleno crecimiento-Experiencia en gestión de proyectos durante más de 5 años-Sur de Madrid-Experiencia en O363, Dynamics, SAP..Empresa de importaciónHibrido en el sur de Madrid",Madrid - España,Jefe de Proyecto,Jornada completa,Más de 5 años,Indefinido,45.000 €-60.000 € Bruto/año,26/01/24,https://www.tecnoempleo.com/it-manager-gestor-proyectos-madrid/office-365-dynamics-sap/rf-1355159f62edf365904a,tecnoempleo
Perfil de Riesgos Tecnológicos,Michael Page,26/01/2024Nueva,ISO 27001,"Perfil buscado (Hombre/Mujer)Análisis de riesgos tecnológicos.• Proyecto estable|Formarás parte de un ecosistema de Talento TecnológicoConocimiento en ISO 27001.Page Consulting Tech Solutions, es el área de PageGroup especializada en la realización de proyectos IT en clientes, ofreciendo una amplia variedad de soluciones tecnológicas a medida con la flexibilidad y agilidad requerida.• Contrato indefinido con Page Consulting Tech Solutions.• Salario en función de la experiencia aportada.• Modelo híbrido de trabajo con flexibilidad horaria.• Formación continua para desarrollar tu talento.• Beneficios sociales y plan de retribución flexible.• Compensación de gastos de teletrabajo.• Plan de carrera en un ecosistema de talento tecnológico.",Madrid (Híbrido),Consultor,Jornada completa,3 años,Indefinido,,26/01/24,https://www.tecnoempleo.com/perfil-riesgos-tecnologicos-hibrido/iso-27001/rf-0cdd1522225f335b344f,tecnoempleo
Desarrollador/a Ruby on Rails,Serem,26/01/2024Nueva,"Ruby on Rails, Javascript, HTML, MySQL","En SEREM estamos comprometidos con diversos proyectos y queremos contar con los mejores profesionales del sector. Nos encontramos en búsqueda activa de un/a Desarrollador/a Ruby on Rails para importante cliente ubicado en Madrid. Formato híbrido.Requisitos:Titulación: Ciclo Formativo Grado Medio / Superior (Ciencias, Ingenierías, Matemáticas, Tecnología)Requisitos mínimos: Ruby on Rails, Javscript - HTML, MySQL, Agile-Scrum, Jenkins2 años de experiencia en desarrollo softwareConocimientos métodos de Autenticación digitalConocimientos de servicios en Cloud AWSConocimientos en CloudWatch AWS, Elastic, ProxySQL, Jenkins, New Relic‌Funciones: Desarrollo de Software definidos en JIRA mediante Ruby On Rails sobre entorno Linux.Realizar las pruebas estáticas y dinámicas de seguridad de acuerdo a los procedimientos definidosDiseño, construcción y mantenimiento de test y despliegues automáticosRealización de pruebas de calidad del software Contribuir a la definición de la arquitectura y de las soluciones de la plataformaColaboración en la realización de testing de la plataformaFomentamos un ambiente de trabajo multicultural e inclusivo, no discriminamos por edad, género o creencias; así como ofrecemos igualdad de oportunidades a todo el personal.Desarrollamos nuestras actividades bajo los principios del cuidado del medioambiente, la sostenibilidad y la responsabilidad social corporativa; colaborando en proyectos de reforestación y sostenibilidad.Apoyamos los 10 principios del Pacto Mundial y los 17 Objetivos de Desarrollo Sostenible, en materia de derechos humanos, condiciones laborales, medio ambiente y anticorrupción.Los procesos de reclutamiento se desarrollan bajo altos estándares de calidad definiendo la incorporación en base a la experiencia y habilidades del candidato.",Madrid - España,Programador,Jornada completa,2 años,Indefinido,,26/01/24,https://www.tecnoempleo.com/desarrollador-ruby-on-rails-madrid/ruby-on-rails-javascript-html-mysql-agi/rf-b85311f5d28e43146b4e,tecnoempleo
Responsable de Proyectos Electrónica,HAYS,26/01/2024Nueva,electronica,"¿Buscas un proyecto innovador que te permita seguir desarrollándote en el primer Cluster de automoción constituido en Europa?¿Quieres tener la oportunidad de relacionarte en tu día a día con las mejores empresas que son tendencia del sector automovilístico? ¡Te presento el proyecto que estabas buscando!Ubicación: BizkaiaEMPRESA Y MISIÓN:Reportando al Responsable de Desarrollo de negocio, como Responsable de Proyectos- Electrónica/Conectividad con alto nivel de inglés de esta puntera empresa del sector automovilístico, tu misión principal se centrará en liderar los proyectos completos de cara a cliente y en realizar el seguimiento de los mismos, participando en la gestión interna de todos los hitos. Además, participarás a nivel técnico en los proyectos relacionados con la conectividad electrónica de los productos. Los diversos proyectos estarán directamente relacionados con el desarrollo de productos del ámbito electrónico, que cuentan con una tecnología innovadora que permiten a la organización posicionarse sólidamente en el mercado.FUNCIONES:Definición, promoción y venta de las soluciones siendo el interlocutor principal con el cliente. Liderar el proyecto de cara al cliente, realizando un seguimiento de las fases e hitos del proyecto y participando en la gestión. Asegurar que se cumplen los principales objetivos de alcance, tiempo, coste, calidad y seguridad. Estimación del valor total de la inversión y el control de costes.  Participar en la supervisión a nivel técnico. Elaboración y reporting de la documentación relativa al proyecto. PERFIL: Buscamos un perfil con titulación en ingeniería electrónica o similar, que aporte un alto nivel de inglés escrito y hablado con experiencia de al menos cuatro años en la gestión de proyectos técnicos de ámbito electrónico o IOT. Buscamos una persona dinámica, con capacidad de comunicación y orientación al cliente, iniciativa y autonomía. QUE TE OFRECERÁ:Trayectoria de la mano de una empresa innovadora y puntera en el sector.Flexibilidad entrada y salida + jornada intensiva los viernes.Paquete retributivo: fijo ¿Crees que tu perfil encaja con lo requerido o conoces a alguien al/la que le pueda interesar? No dudes en ponerte en contacto conmigo para más información.",Bizkaia - España,Electrónica,Jornada completa,3 años,Indefinido,,26/01/24,https://www.tecnoempleo.com/responsable-proyectos-electronica-bizkaia/electronica/rf-124212184269135aef4f,tecnoempleo
Full Stack Developer.NET (H/M/D),Michael Page,26/01/2024Nueva,"Net, C#","Perfil buscado (Hombre/Mujer)  El perfil Full Stack Developer.NET (H/M/D) tendrá como objetivo:• Diseñar y optimizar bases de datos relacionales• Usar y desarrollar de APIs y servicios web SOAP para integraciones con otras plataformas y sistemas, • Diseñar y desarrollar interfaces de usuario responsivas y amigables.• Empresa final (no consultoria)|ZaragozaEl perfil Full Stack Developer.NET (H/M/D) deberá poseer:• REQUISITOS MÍNIMOSAl menos, 3 años en puestos técnicos utilizando las siguientes herramientas y/o lenguajes de programación: - C# .NET.- MVC.- Bootstrap.- HTML.- CSS3.- JavaScript y jQuery- Entity Framework- SQL Server (T-SQL).- API Rest•  Se valorará conocimientos en Navision, Power BI y .NET Core.Empresa líderes en distribución y venta en productor industriales ubicada en Aragón.• Oportunidades de carrera y desarrollo profesional.• Formación continuada interna y externa.• Retribución flexible (seguro médico, guardería y/o formación).• Bus de empresa.• Horario de 7 a 15 horas.",Zaragoza - España,Programador,Jornada completa,3 años,Indefinido,,26/01/24,https://www.tecnoempleo.com/full-stack-developernet-h-m-d-zaragoza/net-c/rf-e9361b5bb2e753ca4d43,tecnoempleo
Product Owner Senior,Michael Page,26/01/2024Nueva,"API, Agile, Scrum","Perfil buscado (Hombre/Mujer)• Comunicar con todas las partes interesadas en todos los ámbitos relacionados con el producto, incluido el equipo de desarrollo para asegurarse de que las metas sean claras y la visión esté alineada con los objetivos estratégicos de la empresa.• Ayudar al equipo a mantener esa visión mediante la creación de una hoja de ruta del producto, un resumen visual estratégico que describe la visión y la dirección del producto a lo largo del tiempo. En esta hoja de ruta las partes interesadas podrán consultar el plan de ejecución.• Presentar descripciones detalladas de las características del producto para que los equipos de desarrollo las comprendan claramente.• Trabajar en estrecha colaboración con la dirección como parte interesada para crear un producto que se adapte a sus objetivos estratégicos.• Trabajar en productos internos, identificar y ayudar a los clientes internos a comprender el modelo de negocio y la propuesta de valor.• Priorizar las necesidades será clave, como propietario de uno o más productos.• Sopesar las prioridades de acuerdo con las necesidades y los objetivos de las partes interesadas. Jugará siempre con las variables de alcance, presupuesto y tiempo.• Con la visión, la estrategia y las prioridades del producto definidas, tendrá que dedicar tiempo a supervisar el desarrollo real del producto.• Definir métricas de productos y su uso durante el proceso de desarrollo de los mismos.• Conocer en profundidad el producto para anticiparse a problemas o necesidades y buscar soluciones.• Servir de voz del usuario, representando siempre sus necesidades e intereses.• Poner en marcha nuevas ideas y planificar lanzamientos.• Actuar como embajador del producto interna y externamente y como contacto principal para preguntas o consultas relacionadas con el producto.• Ser comunicador principal y el vínculo entre las partes interesadas y el equipo.• Abordar los problemas relacionados con el producto, tomando las decisiones necesarias previo un análisis profundo de los mismos.• Responsabilizarse sobre el producto que él y su equipo entreguen. Para respaldar sus decisiones, deberá medir el éxito de su producto con los datos reales del usuario.• Fomentar una cultura de toma de decisiones basada en datos.• Seguir las soluciones sobre producto de la competencia y las tendencias del sector.• Estar al día con el entorno de trabajo Agile / Scrum como Product Owner: escribir historias de usuario y seguir el proceso de desarrollo a través de la aceptación de las historias de usuario.• Proyecto estable, 100% teletrabajo|Formarás parte de un ecosistema de Talento TecnológicoIndispensable:• Experiencia como Product Manager o Product Owner.• Experiencia de producto API: al ser un comercio electrónico construido como una plataforma de microservicio, y algunos de los productos se ofrecen a través de API. Si está familiarizado con la definición de API como un producto y está familiarizado con el enfoque APIFirst, será especialmente bienvenido en algunos productos.• Experiencia en entornos de trabajo Agile / Scrum.• Experiencia en la toma de decisiones basada en datos.• Experiencia en negociación con stakeholders y consumidores.• Experiencia trabajando en la orientación a objetivos y resultados.Deseable:• Experiencia en contextos de ecommerce.• Experiencia previa trabajando con objetivos y resultados clave (OKRs).• Conocimientos de DDD.• Contrato indefinido con Page Consulting Tech Solutions.• Salario en función de la experiencia aportada.• Modelo remoto con disponibilidad para realizar viajes puntuales.• Formación continua para desarrollar tu talento.• Beneficios sociales y plan de retribución flexible.• Compensación de gastos de teletrabajo.• Plan de carrera en un ecosistema de talento tecnológico.",100% En remoto,Jefe de Proyecto,Jornada completa,3-5 años,Temporal,45.000 €-54.000 € Bruto/año,26/01/24,https://www.tecnoempleo.com/product-owner-senior-remoto/api-agile-scrum/rf-c47f120c829fa3dda045,tecnoempleo
Consultor 365 Power Platform/SharePoint,Michael Page,26/01/2024Nueva,"Power Platform, SharePoint","Perfil buscado (Hombre/Mujer)• Colaborar con los clientes para comprender sus procesos de negocio y requisitos.• Configurar y personalizar Microsoft 365 Power Platform para satisfacer las necesidades específicas del cliente.• Proporcionar soporte técnico y resolver problemas relacionados con Power Platform.• Colaborar con equipos interdisciplinarios para garantizar la implementación exitosa de soluciones.• Importante empresa tecnológica (Partner Microsoft)|Trabajo remoto (100% remoto)• Experiencia demostrable en consultoría funcional con enfoque en soluciones empresariales.• Conocimientos técnicos sólidos en Microsoft 365 Power Platform/SharePoint.• Habilidades de resolución de problemas y capacidad para trabajar en entornos colaborativos.• Fuertes habilidades de comunicación y capacidad para interactuar eficazmente con clientes y equipos internos.Es una reconocida consultora especializada en soluciones empresariales basadas en Microsoft, y actualmente están en búsqueda de un nuevo talento para su equipo. Están buscando a un apasionado por la tecnología, orientado a resultados y con habilidades analíticas para unirse a ellos en el área de Power Platform.• Oportunidad de trabajar con tecnologías de vanguardia.• Plan de carrera• Salario competitivo.• Benefits.• Variables.• Posibilidad de trabajar 100% remoto.",Barcelona - España,Consultor,Jornada completa,3 años,Indefinido,33.000 €-45.000 € Bruto/año,26/01/24,https://www.tecnoempleo.com/consultor-365-power-platform-sharepoint-barcelona/power-platform-sharepoin/rf-3db91470e227d3934341,tecnoempleo
